brand,storeId,storeName,avg4w,weeksData,coverageCurrent,coverageResult,diffGoal,devPct,status,losesCoverage,trend,w1,w2,w3,w4
Burritos & Co - Turbo,900410574,Burritos And Co - Calle 174 - Turbo,2.129319514,4,2400,2400,0.1293195142,0.0646597571,🟡 Atención,No,Estable,2.167117162,2.76666666,1.646341463,1.937152771
Casa Arabe - Turbo,900477847,Casa Árabe Villa Del Prado - Turbo,2.121626833,3,2100,2100,0.1216268333,0.06081341667,🟡 Atención,No,Mejorando,,3.4791665,0.183333,2.702381
Sanduches el Jefe - Turbo,900420513,Sandwich el Jefe Kennedy - Turbo,2.1166665,2,2700,2700,0.1166665,0.05833325,🟡 Atención,No,Mejorando,3.8,,0.433333,
Avocalia Turbo,900410780,Avocalia Chicó - Turbo,2.116522751,4,3000,3000,0.1165227512,0.05826137561,🟡 Atención,No,Empeorando,1.437288119,1.534920627,2.85438096,2.639501299
Doritos Locos By Dorito - Turbo,900472112,Doritos Locos By Dorito Chapinero - Turbo,2.11083345,3,3000,3000,0.11083345,0.055416725,🟡 Atención,No,Empeorando,1.2866668,,3.02916675,2.0166668
Desayuno Mi Tierrita - Turbo,900465157,Desayuno Mi Tierrita Laureles - Turbo,2.107615853,4,2700,2700,0.1076158528,0.05380792639,🟡 Atención,No,Empeorando,1.012963111,2.1708335,3.4433334,1.8033334
Cinnabon - Turbo,900463784,Cinnabon Cl 109 - Turbo,2.097368615,4,3000,3000,0.09736861451,0.04868430726,🟡 Atención,No,Mejorando,3.135620902,1.820952386,1.607716037,1.825185133
Desayuno Mi Tierrita - Turbo,900488770,Desayuno Mi Tierrita Arrecife - Turbo,2.093154786,4,2700,2700,0.09315478571,0.04657739286,🟡 Atención,No,Estable,2.597619143,2.2416665,1.1333335,2.4
Mr Beast Burger - Turbo,900405270,Mr Beast Laureles - Turbo,2.092153331,4,2700,2700,0.09215333074,0.04607666537,🟡 Atención,No,Estable,2.452592556,1.98455278,1.488759674,2.442708313
Green House Fd - Turbo,900438451,Green House Barranquilla - Turbo,2.078752704,4,2700,2700,0.07875270366,0.03937635183,🟡 Atención,No,Estable,2.42978727,2.001002451,2.602294717,1.281926377
Señor Burrito. - Turbo,900467417,Señor Burrito Santa Monica - Turbo,2.075694563,4,3000,3000,0.0756945625,0.03784728125,🟡 Atención,No,Mejorando,1.8541665,3.55416675,0.566667,2.327778
Desayunos de la Abuela - Turbo,900446276,Desayunos de la Abuela Calle 93 - Turbo,2.0666665,3,2400,2400,0.0666665,0.03333325,🟡 Atención,No,Empeorando,1.3,,1.283333,3.6166665
Numa Cocina Mediterranea - Turbo,900488968,Numa Cocina Mediterranea Arrecife - Turbo,2.064270819,4,2700,2700,0.06427081875,0.03213540938,🟡 Atención,No,Mejorando,2.8633334,2.32916675,1.547916625,1.5166665
Desayuno Mi Tierrita - Turbo,900465167,Desayuno Mi Tierrita - Cabecera - Turbo,2.05972225,4,3000,3000,0.05972225,0.029861125,🟡 Atención,No,Mejorando,5.366666667,1.622222333,0.3,0.95
la Cuadra Desayunos Caseros - Turbo,900464914,la Cuadra - Cl 109 - Turbo,2.055555667,3,2400,2400,0.05555566667,0.02777783333,🟡 Atención,No,Empeorando,0.2,,0.516667,5.45
House Of Salads - Turbo,900445607,House Of Salad Calle 93 - Turbo,2.053075446,4,2400,2400,0.05307544643,0.02653772321,🟡 Atención,No,Estable,1.304762,2.288095286,0.8,3.8194445
Foodology Court - Turbo,900465144,Foodology Laureles - Turbo Calle 32f #66b-254,2.047916542,4,3000,3000,0.04791654167,0.02395827083,🟡 Atención,No,Mejorando,5.45,0.925,0.9333331667,0.883333
Honest Food Fdl - Turbo,900472133,Honest Food Villa Del Prado - Turbo,2.042968775,4,2400,2400,0.04296877475,0.02148438737,🟡 Atención,No,Estable,1.650000077,2.416666647,2.29375,1.811458375
Mañanero Diario - Turbo,900443497,Mañanero diario Colina - Turbo,2.041666833,3,3000,3000,0.04166683333,0.02083341667,🟡 Atención,No,Empeorando,1.1583335,0.766667,,4.2
Desayuno Mi Tierrita - Turbo,900465166,Desayuno Mi Tierrita - Colina - Turbo,2.0283334,2,2400,2400,0.0283334,0.0141667,🟡 Atención,No,Empeorando,1.35,,2.7066668,
