Semana,Ciudad,Marca,Store ID,Store Name,Cocina,Avg RTWT (limpio),Current Size (m),Final Size (m)
25/5/2026,Cali,Bottaniko - Turbo,CO900443505,Bottaniko Cali - San Fernando - Turbo,San Fernando,0.88,2400.0,2400.0
25/5/2026,Medellín,Get Smashed Burgers - Turbo,CO900416437,Get Smash Manila - Turbo,Manila,,3000.0,3000.0
25/5/2026,Medellín,Get Smashed Burgers - Turbo,CO900473575,Get Smashed Burgers Envigado - Turbo,Envigado,,2400.0,2400.0
25/5/2026,Bogotá,Frost By Oreo - Turbo,CO900405219,Frost By Oreo Villa Del Prado - Turbo,Villa del Prado,0.87,3000.0,3000.0
25/5/2026,Bucaramanga,Mañanero Diario - Turbo,CO900443504,Mañanero diario Bucaramanga - Turbo,Cabecera (Bga),0.86,2700.0,2700.0
25/5/2026,Bucaramanga,Desayuno Mi Tierrita - Turbo,CO900465167,Desayuno Mi Tierrita - Cabecera - Turbo,Cabecera (Bga),0.83,3000.0,3000.0
25/5/2026,Medellín,Green House Fd - Turbo,CO900481562,Green House Envigado - Turbo,Envigado,,2400.0,2400.0
25/5/2026,Bogotá,Burrito Cantina - Turbo,CO900467378,Burrito Cantina Colina - Turbo,Colina,0.8,2400.0,2400.0
25/5/2026,Cartagena,Selvatiko. - Turbo,CO900482001,Selvatiko. Cartagena - Turbo,Cartagena,0.8,2400.0,2400.0
25/5/2026,Bogotá,Helados San Jerónimo - Turbo,CO900420290,San Jeronomio - Colina - Turbo,Colina,0.79,3000.0,3000.0
25/5/2026,Cali,Vicio - Turbo,CO900473606,Vicio Ingenio - Turbo,Ingenio,0.78,2400.0,2400.0
25/5/2026,Bucaramanga,Helados San Jerónimo - Turbo,CO900426594,Heladería San Jerónimo Bucaramanga - Turbo,Cabecera (Bga),0.75,3000.0,3000.0
25/5/2026,Cali,Frost By Oreo - Turbo,CO900405217,Frost By Oreo San Fernando - Turbo,San Fernando,0.74,2700.0,3000.0
